기간별 박스오피스 일별 엑셀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ 조회기간 : 2018-03-14 ~ 2018-03-20 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,대표국적,국적,제작사,배급사,등급,장르,감독,배우,2018-03-14,,,,,,2018-03-15,,,,,,2018-03-16,,,,,,2018-03-17,,,,,,2018-03-18,,,,,,2018-03-19,,,,,,2018-03-20,,,,,,합계,
,,,,,,,,,,,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,매출액,관객수
29,황야의 귀부인,,미국,미국,워너 브러더스 픽쳐스,,,서부극(웨스턴),머빈 르로이,"그리어 가슨,다나 앤드류스,카메론 미첼,로이스 스미스",0,0,0,0,0,0,0,0,0,0,0,0,"930,000","930,000",465,465,1,4,"1,200,000","2,130,000",600,"1,065",1,4,"883,000","3,013,000",440,"1,505",1,4,"798,000","3,811,000",399,"1,904",1,4,0,"3,811,000",0,"1,904",0,0,"3,811,000","1,904"
30,골든슬럼버,2018-02-14,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"범죄,드라마",노동석,"강동원,김의성,한효주,김성균,김대명,윤계상,이준혁,정소민,최우식,유재명,차순배,김시은","743,000","11,403,755,298",148,"1,385,527",8,8,"3,747,500","11,407,502,798",853,"1,386,380",29,29,"946,000","11,408,448,798",194,"1,386,574",9,9,"1,014,000","11,409,462,798",207,"1,386,781",13,13,"510,000","11,409,972,798",101,"1,386,882",6,6,"678,000","11,410,650,798",158,"1,387,040",8,10,"718,000","11,411,368,798",143,"1,387,183",9,9,"8,356,500","1,804"
31,바나나쏭의 기적,2018-03-08,한국,한국,바른미디어,"(주)영화사 그램,(재)CBS",전체관람가,다큐멘터리,"송우용,지혜원",김재창,"955,500","47,246,100",201,"6,757",15,18,"2,196,000","49,442,100",358,"7,115",10,12,"2,533,300","51,975,400",307,"7,422",13,13,"1,873,800","53,849,200",287,"7,709",14,15,"3,492,000","57,341,200",448,"8,157",17,19,"356,000","57,697,200",48,"8,205",9,10,"718,500","58,415,700",144,"8,349",10,11,"12,125,100","1,793"
32,"아이, 토냐",2018-03-08,미국,미국,,"(주)영화사 진진,(주)누리픽쳐스",청소년관람불가,드라마,크레이그 질레스피,"마고 로비,세바스찬 스탠,앨리슨 제니,보자나 노바코빅","2,669,700","99,396,800",380,"12,026",73,82,"990,500","100,387,300",125,"12,151",19,21,"2,282,000","102,669,300",246,"12,397",20,22,"2,692,500","105,361,800",327,"12,724",21,23,"2,389,100","107,750,900",297,"13,021",18,22,"654,000","108,404,900",92,"13,113",14,17,"1,212,700","109,617,600",177,"13,290",17,20,"12,890,500","1,644"
33,프렌즈: 몬스터섬의비밀,2011-12-29,일본,일본,,"(주)스마일이엔티,(주)에스비에스콘텐츠허브",전체관람가,"애니메이션,어드벤처",야마자키 타카시,"이장원,엄상현,김서영,윤세웅,카토리 싱고,야마데라 코이치,신도 유나,아베 사다오","182,000","4,011,041,600",27,"547,349",7,8,"56,600","4,011,098,200",9,"547,358",3,3,"677,500","4,011,775,700",127,"547,485",8,8,"4,457,100","4,016,232,800",676,"548,161",21,28,"5,301,300","4,021,534,100",721,"548,882",22,28,"62,000","4,021,596,100",10,"548,892",3,3,"148,000","4,021,744,100",27,"548,919",5,5,"10,884,500","1,597"
34,젝스키스 에이틴,2018-01-18,한국,한국,(주)와이지엔터테인먼트,씨제이 씨지브이(CJ CGV)(주),전체관람가,다큐멘터리,,"은지원,이재진,장수원,김재덕,강성훈","795,000","342,645,500",140,"46,532",2,3,"542,000","343,187,500",97,"46,629",2,3,"1,742,000","344,929,500",271,"46,900",3,4,"907,000","345,836,500",156,"47,056",3,4,"2,708,500","348,545,000",393,"47,449",3,5,"671,000","349,216,000",130,"47,579",1,1,"2,149,500","351,365,500",408,"47,987",3,3,"9,515,000","1,595"
35,게이트,2018-02-28,한국,한국,삼삼공구 브라더스,(주)제이앤씨미디어그룹,15세이상관람가,"범죄,코미디",신재호,"정려원,임창정,정상훈,이경영,이문식","820,500","812,353,100",110,"98,898",26,28,"632,000","812,985,100",176,"99,074",22,23,"936,500","813,921,600",197,"99,271",20,21,"992,000","814,913,600",207,"99,478",17,18,"1,438,000","816,351,600",253,"99,731",18,20,"703,000","817,054,600",191,"99,922",19,22,"1,455,500","818,510,100",313,"100,235",20,22,"6,977,500","1,447"
36,미니특공대X,2018-03-22,한국,한국,(주)삼지애니메이션,(주)삼지애니메이션,전체관람가,애니메이션,이영준,"엄상현,전태열,이소영,신용우",0,0,0,0,0,0,"4,464,000","4,464,000",496,496,2,2,0,"4,464,000",0,496,0,0,"1,580,000","6,044,000",158,654,1,1,"1,696,000","7,740,000",212,866,1,1,0,"7,740,000",0,866,0,0,"3,960,000","11,700,000",495,"1,361",3,3,"11,700,000","1,361"
37,악셀,2018-03-08,중국,중국,,(주)팝엔터테인먼트,전체관람가,"판타지,애니메이션",레오 리,,"233,500","62,151,000",32,"8,080",13,13,"154,000","62,305,000",22,"8,102",8,8,"570,000","62,875,000",135,"8,237",5,5,"3,843,500","66,718,500",494,"8,731",38,42,"4,937,000","71,655,500",620,"9,351",41,45,"32,000","71,687,500",4,"9,355",2,2,"149,000","71,836,500",22,"9,377",8,8,"9,919,000","1,329"
38,위대한 쇼맨,2017-12-20,미국,미국,,이십세기폭스코리아(주),12세이상관람가,"드라마,뮤지컬",마이클 그레이시,"휴 잭맨,잭 에프런,미쉘 윌리엄스,레베카 퍼거슨,젠다야 콜맨","838,000","11,476,160,100",108,"1,398,588",6,9,"463,700","11,476,623,800",60,"1,398,648",6,9,"1,072,000","11,477,695,800",126,"1,398,774",7,10,"2,245,600","11,479,941,400",261,"1,399,035",6,9,"1,980,000","11,481,921,400",234,"1,399,269",6,10,"609,600","11,482,531,000",76,"1,399,345",4,7,"666,500","11,483,197,500",84,"1,399,429",5,7,"7,875,400",949
